tick,temps_s,x,y,z,vx,vy,vz,vitesse,vitesse_horizontale,vitesse_verticale,pression,masse,poids,portance,poussee,trainee,resultante_y,gaz_total,gaz_capacite,regime_max,stress_su,capacite_su,au_sol,surcharge,f_gravite_x,f_gravite_y,f_gravite_z,f_ballon_x,f_ballon_y,f_ballon_z,f_ballon_x,f_ballon_y,f_ballon_z,f_ballon_x,f_ballon_y,f_ballon_z,f_helice@62.4.2_x,f_helice@62.4.2_y,f_helice@62.4.2_z,f_helice@62.4.22_x,f_helice@62.4.22_y,f_helice@62.4.22_z,f_helice@66.4.12_x,f_helice@66.4.12_y,f_helice@66.4.12_z,f_trainee_x,f_trainee_y,f_trainee_z
65,3.25,-0.0,37.062,0.0,-0.0,-12.40047,0.0,12.40047,0.0,-12.40047,1.10928,2116.25,23278.75,7911.69,0.0,12657.2,-2709.863,433.33,4505,256.0,0.0,8192.0,0,0,0.0,-23278.75,0.0,0.0,5355.604,0.0,0.0,5355.604,0.0,0.0,5355.604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12657.199,-0.0
70,3.5,-0.0,33.9189,0.0,-0.0,-12.67907,-0.0,12.67907,0.0,-12.67907,1.1233,2116.25,23278.75,8011.29,0.0,13088.57,-2178.889,433.33,4505,256.0,0.0,8192.0,0,0,0.0,-23278.75,0.0,0.0,5423.026,0.0,0.0,5423.026,0.0,0.0,5423.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13088.573,-0.0
75,3.75,-0.0,30.715,0.0,0.0,-12.89911,0.0,12.89911,0.0,-12.89911,1.13779,2116.25,23278.75,8114.21,0.0,13468.08,-1696.458,433.33,4505,256.0,0.0,8192.0,0,0,0.0,-23278.75,0.0,0.0,5492.698,0.0,0.0,5492.698,0.0,0.0,5492.698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,13468.079,-0.0
80,4.0,-0.0,27.4642,0.0,-0.0,-13.06604,-0.0,13.06604,0.0,-13.06604,1.15267,2116.25,23278.75,8220.1,0.0,13799.36,-1259.297,433.33,4505,256.0,0.0,8192.0,0,0,0.0,-23278.75,0.0,0.0,5564.373,0.0,0.0,5564.373,0.0,0.0,5564.373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13799.356,0.0
85,4.25,-0.0,24.1789,0.0,-0.0,-13.18492,-0.0,13.18492,0.0,-13.18492,1.16791,2116.25,23278.75,8328.6,0.0,14085.79,-864.364,433.33,4505,256.0,0.0,8192.0,0,0,0.0,-23278.75,0.0,0.0,5637.819,0.0,0.0,5637.819,0.0,0.0,5637.819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14085.79,0.0
90,4.5,-0.0,20.8705,-0.0,-0.0,-13.2605,-0.0,13.2605,0.0,-13.2605,1.18347,2116.25,23278.75,8439.39,0.0,14330.55,-508.811,433.33,4505,256.0,0.0,8192.0,0,0,0.0,-23278.75,0.0,0.0,5712.819,0.0,0.0,5712.819,0.0,0.0,5712.819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14330.548,0.0
95,4.75,-0.0,17.5492,-0.0,-0.0,-13.2972,0.0,13.2972,0.0,-13.2972,1.19929,2116.25,23278.75,8552.18,0.0,14536.61,-189.955,433.33,4505,256.0,0.0,8192.0,0,0,0.0,-23278.75,0.0,0.0,5789.168,0.0,0.0,5789.168,0.0,0.0,5789.168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14536.614,-0.0
100,5.0,-0.0,14.2239,0.0,-0.0,-13.29913,0.0,13.29913,0.0,-13.29913,1.21535,2116.25,23278.75,8666.68,0.0,14706.81,94.744,433.33,4505,256.0,0.0,8192.0,0,0,0.0,-23278.75,0.0,0.0,5866.677,0.0,0.0,5866.677,0.0,0.0,5866.677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14706.812,-0.0
105,5.25,-0.0,10.9029,0.0,0.0,-13.2701,0.0,13.2701,0.0,-13.2701,1.23161,2116.25,23278.75,8782.63,0.0,14843.82,347.707,433.33,4505,256.0,0.0,8192.0,0,0,0.0,-23278.75,0.0,0.0,5945.167,0.0,0.0,5945.167,0.0,0.0,5945.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14843.823,-0.0
110,5.5,-0.0,9.7474,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.23731,2116.25,23278.75,8846.78,0.0,0.0,-14431.973,433.33,4505,256.0,0.0,8192.0,1,0,0.0,-23278.75,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
115,5.75,-0.0,9.7474,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.23731,2116.25,23278.75,8846.78,0.0,0.0,-14431.973,433.33,4505,256.0,0.0,8192.0,1,0,0.0,-23278.75,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
120,6.0,-0.0,9.7474,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.23731,2116.25,23278.75,8846.78,0.0,0.0,-14431.973,433.33,4505,256.0,0.0,8192.0,1,0,0.0,-23278.75,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
125,6.25,-0.0,9.7474,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.23731,2116.25,23278.75,8846.78,0.0,0.0,-14431.973,433.33,4505,256.0,0.0,8192.0,1,0,0.0,-23278.75,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
