tick,temps_s,x,y,z,vx,vy,vz,vitesse,vitesse_horizontale,vitesse_verticale,pression,masse,poids,portance,poussee,trainee,resultante_y,gaz_total,gaz_capacite,regime_max,stress_su,capacite_su,au_sol,surcharge,f_gravite_x,f_gravite_y,f_gravite_z,f_ballon_x,f_ballon_y,f_ballon_z,f_helice@11.10.10_x,f_helice@11.10.10_y,f_helice@11.10.10_z,f_helice@21.10.10_x,f_helice@21.10.10_y,f_helice@21.10.10_z,f_trainee_x,f_trainee_y,f_trainee_z
910,45.5,0.0,155.8525,0.0,0.0,0.12333,0.0,0.12333,0.0,0.12333,0.68904,1856.75,20424.25,20465.04,0.0,91.43,-50.637,1800.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20465.045,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-91.432,-0.0
915,45.75,0.0,155.8823,0.0,0.0,0.11674,0.0,0.11674,0.0,0.11674,0.68896,1856.75,20424.25,20462.57,0.0,86.54,-48.222,1800.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20462.572,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-86.543,-0.0
920,46.0,0.0,155.9106,0.0,0.0,0.11046,0.0,0.11046,0.0,0.11046,0.68888,1856.75,20424.25,20460.23,0.0,81.89,-45.909,1800.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20460.231,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-81.89,-0.0
925,46.25,0.0,155.9373,0.0,0.0,0.10449,0.0,0.10449,0.0,0.10449,0.68881,1856.75,20424.25,20458.02,0.0,77.46,-43.694,1800.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20458.017,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-77.461,-0.0
930,46.5,0.0,155.9625,0.0,0.0,0.09881,0.0,0.09881,0.0,0.09881,0.68874,1856.75,20424.25,20455.92,0.0,73.25,-41.574,1800.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20455.923,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-73.247,-0.0
935,46.75,0.0,155.9864,0.0,0.0,0.0934,0.0,0.0934,0.0,0.0934,0.68867,1856.75,20424.25,20453.94,0.0,69.24,-39.545,1800.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20453.944,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-69.239,-0.0
940,47.0,0.0,156.009,0.0,0.0,0.08826,0.0,0.08826,0.0,0.08826,0.68861,1856.75,20424.25,20452.07,0.0,65.43,-37.605,1800.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20452.073,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-65.428,-0.0
945,47.25,0.0,156.0303,0.0,0.0,0.08337,0.0,0.08337,0.0,0.08337,0.68855,1856.75,20424.25,20450.31,0.0,61.8,-35.749,1800.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20450.305,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-61.804,-0.0
950,47.5,0.0,156.0505,0.0,0.0,0.07872,0.0,0.07872,0.0,0.07872,0.6885,1856.75,20424.25,20448.64,0.0,58.36,-33.974,1800.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20448.636,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-58.361,-0.0
955,47.75,0.0,156.0695,0.0,0.0,0.07431,0.0,0.07431,0.0,0.07431,0.68844,1856.75,20424.25,20447.06,0.0,55.09,-32.278,1800.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20447.061,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-55.089,-0.0
960,48.0,0.0,156.0874,0.0,0.0,0.07012,0.0,0.07012,0.0,0.07012,0.68839,1856.75,20424.25,20445.57,0.0,51.98,-30.658,1800.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20445.574,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-51.981,-0.0
965,48.25,0.0,156.1044,0.0,0.0,0.06614,0.0,0.06614,0.0,0.06614,0.68835,1856.75,20424.25,20444.17,0.0,49.03,-29.11,1800.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20444.171,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-49.031,-0.0
970,48.5,0.0,156.1203,0.0,0.0,0.06236,0.0,0.06236,0.0,0.06236,0.6883,1856.75,20424.25,20442.85,0.0,46.23,-27.632,1800.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20442.848,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-46.23,-0.0
975,48.75,0.0,156.1354,0.0,0.0,0.05877,0.0,0.05877,0.0,0.05877,0.68826,1856.75,20424.25,20441.6,0.0,43.57,-26.221,1800.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20441.601,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-43.572,-0.0
980,49.0,0.0,156.1495,0.0,0.0,0.05536,0.0,0.05536,0.0,0.05536,0.68822,1856.75,20424.25,20440.43,0.0,41.05,-24.874,1800.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20440.426,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-41.05,-0.0
